#pages	 proc	         sum
1	 0.003582	 1048576
2	 0.000735	 1048576
3	 0.000880	 1048575
4	 0.001096	 1048576
5	 0.000615	 1048575
6	 0.000662	 1048572
7	 0.000657	 1048572
8	 0.000608	 1048576
9	 0.000538	 1048572
10	 0.000528	 1048570
11	 0.000520	 1048575
12	 0.000513	 1048572
13	 0.000515	 1048567
14	 0.001262	 1048572
15	 0.000498	 1048575
16	 0.000495	 1048576
17	 0.000492	 1048560
18	 0.000489	 1048572
19	 0.000489	 1048572
20	 0.000484	 1048560
21	 0.001009	 1048572
22	 0.000461	 1048564
23	 0.000461	 1048570
24	 0.000440	 1048560
25	 0.000439	 1048575
26	 0.000437	 1048554
27	 0.000454	 1048572
28	 0.000418	 1048572
29	 0.000774	 1048553
30	 0.000417	 1048560
31	 0.000417	 1048575
32	 0.000415	 1048576
33	 0.000429	 1048575
34	 0.000399	 1048560
35	 0.000861	 1048565
36	 0.000827	 1048572
37	 0.000398	 1048543
38	 0.000764	 1048572
39	 0.000396	 1048554
40	 0.000760	 1048560
41	 0.000647	 1048575
42	 0.000784	 1048572
43	 0.000639	 1048555
44	 0.000708	 1048564
45	 0.000605	 1048545
46	 0.000679	 1048570
47	 0.000411	 1048570
48	 0.000379	 1048560
49	 0.000378	 1048551
50	 0.000378	 1048550
51	 0.000378	 1048560
52	 0.000378	 1048528
53	 0.000378	 1048552
54	 0.000378	 1048572
55	 0.000377	 1048575
56	 0.000377	 1048544
57	 0.000377	 1048572
58	 0.000380	 1048524
59	 0.000376	 1048548
60	 0.000377	 1048560
61	 0.000541	 1048529
62	 0.000542	 1048544
63	 0.000539	 1048572
64	 0.000535	 1048576
